model_name,phrasing_type,n,semantic_divergence_mean,semantic_divergence_median,claim_risk_proxy_mean,recommendation_instability_mean,recommendation_proxy_n,token_ceiling_rate,recommendation_proxy_coverage
ChatGPT,Direct Question,99,0.053613128030294645,0.048907783219324874,0.705050505050505,0.9854256899651155,99,0.43434343434343436,1.0
ChatGPT,Conversational,97,0.07431271839818054,0.06286897156851068,0.8592783505154639,0.9870225584460005,95,0.8762886597938144,0.979381443298969
ChatGPT,Formal/Professional,100,0.15205657315301502,0.13483625470498406,0.7995,0.9949388704042278,100,1.0,1.0
ChatGPT,Informal,100,0.11815524411073947,0.10003543729961684,0.7165,0.9872515924877974,98,0.02,0.98
ChatGPT,Conditional,100,0.12603504296525223,0.10131298129551064,0.879,0.9946610050705966,100,1.0,1.0
ChatGPT,Highly Specific,99,0.12318917137490475,0.10664205583371733,0.6671717171717172,0.9958326870471508,86,0.2222222222222222,0.8686868686868687
ChatGPT,Ambiguous,99,0.0731171361664872,0.056921929233101576,0.747979797979798,0.9915231324672907,98,0.7373737373737373,0.98989898989899
ChatGPT,Comparative,99,0.18859775488322647,0.16903780520836098,0.7797979797979798,0.9952728412665329,97,0.98989898989899,0.9797979797979798
ChatGPT,Constraint-Based,94,0.14475508770530435,0.12239235644552748,0.32287234042553187,,0,0.5106382978723404,0.0
ChatGPT,Role-Based/Expert Framing,97,0.05992744511146826,0.0556822048486707,0.7670103092783506,0.9869552356057673,96,0.9587628865979382,0.9896907216494846
Claude,Direct Question,100,0.07613376674956847,0.07238227523170704,0.5165,0.987924060100083,100,0.0,1.0
Claude,Conversational,100,0.1104077930408665,0.10238003640748927,0.68,0.9892060739625549,98,0.0,0.98
Claude,Formal/Professional,100,0.25204962263282255,0.2516314630853523,0.8464999999999999,0.998184929451218,100,0.29,1.0
Claude,Informal,100,0.13677224400587903,0.1283413998129559,0.5145000000000001,0.9891130890507998,89,0.0,0.89
Claude,Conditional,100,0.2627859595534824,0.24718479671885302,0.532,0.997005168892665,100,0.0,1.0
Claude,Highly Specific,100,0.10196979492773074,0.09645023533615549,0.754,0.9976580115235287,83,0.0,0.83
Claude,Ambiguous,100,0.10252662485599374,0.08876281238395439,0.629,0.9920362961974978,100,0.0,1.0
Claude,Comparative,100,0.22090454459837777,0.19920703266416673,0.8809999999999999,0.9986950040134684,100,0.01,1.0
Claude,Constraint-Based,100,0.1155508192181399,0.10591614893242196,0.37549999999999994,,0,0.0,0.0
Claude,Role-Based/Expert Framing,100,0.07500093574250734,0.06551008251616453,0.722,0.9922314803403384,94,0.0,0.94
Gemini,Direct Question,100,0.05679244478678123,0.05487137460948266,0.8664999999999999,0.9797807851225621,96,0.0,0.96
Gemini,Conversational,100,0.09145429787766293,0.09058448615391551,0.8865,0.976230107962389,96,0.0,0.96
Gemini,Formal/Professional,100,0.1994733780338245,0.19188696621228507,0.9159999999999999,0.9887632270939437,99,0.0,0.99
Gemini,Informal,100,0.1355643358651449,0.12870695964757944,0.8740000000000001,0.9760897385827585,81,0.0,0.81
Gemini,Conditional,100,0.13929470854715226,0.11633882531697443,0.8859999999999999,0.9908373385531034,99,0.0,0.99
Gemini,Highly Specific,100,0.1685113343878778,0.15493339739909867,0.3815,0.9968630617467265,71,0.0,0.71
Gemini,Ambiguous,100,0.07322917788199901,0.062364776698176305,0.8809999999999999,0.9841354989356946,100,0.0,1.0
Gemini,Comparative,100,0.15619027576474864,0.14376625463382864,0.877,0.9972490207267808,99,0.0,0.99
Gemini,Constraint-Based,100,0.11892919523432688,0.11087071201541465,0.386,0.9729208002645503,32,0.0,0.32
Gemini,Role-Based/Expert Framing,100,0.06892988987113698,0.06388412793736536,0.9,0.9784893322832988,100,0.0,1.0
