prompt_id,base_intent_id,variation_no,domain,intent_type,phrasing_type,prompt_text,model_name,missing_response
FINA_F01_V02,FINA_F01,2,Finance,Explanation,Conversational,I'm trying to understand this properly: how does compound interest work for long-term saving? Could you explain it clearly in a practical way?,ChatGPT,True
FINA_F01_V10,FINA_F01,10,Finance,Explanation,Role-Based/Expert Framing,"Act as a financial education adviser. Give a careful, balanced and practical answer to this question: How does compound interest work for long-term saving?",ChatGPT,True
FINA_F12_V10,FINA_F12,10,Finance,Comparison,Role-Based/Expert Framing,"Act as a financial education adviser. Give a careful, balanced and practical answer to this question: How do fixed and variable interest rates differ?",ChatGPT,True
FINA_F15_V10,FINA_F15,10,Finance,Explanation,Role-Based/Expert Framing,"Act as a financial education adviser. Give a careful, balanced and practical answer to this question: How do taxes affect take-home pay in general terms?",ChatGPT,True
FINA_F19_V01,FINA_F19,1,Finance,Decision Support,Direct Question,Should a person lease or buy a car from a financial perspective?,ChatGPT,True
FINA_F19_V02,FINA_F19,2,Finance,Decision Support,Conversational,I'm trying to understand this properly: should a person lease or buy a car from a financial perspective? Could you explain it clearly in a practical way?,ChatGPT,True
FINA_F19_V07,FINA_F19,7,Finance,Decision Support,Ambiguous,Tell me about leasing versus buying a car.,ChatGPT,True
HEAL_H12_V09,HEAL_H12,9,Healthcare,Comparison,Constraint-Based,"Answer in a table with columns for 'Main point', 'Why it matters', and 'Possible limitation': How do physical activity and nutrition contribute differently to general health?",ChatGPT,True
HEAL_H13_V09,HEAL_H13,9,Healthcare,Recommendation,Constraint-Based,"Answer in a table with columns for 'Main point', 'Why it matters', and 'Possible limitation': What general wellbeing apps can help people track habits and routines?",ChatGPT,True
MARK_M12_V09,MARK_M12,9,Marketing,Recommendation,Constraint-Based,"Answer in a table with columns for 'Main point', 'Why it matters', and 'Possible limitation': What are useful tools for managing social media content?",ChatGPT,True
TECH_T01_V06,TECH_T01,6,Technology,Recommendation,Highly Specific,"Answer in exactly 5 bullet points: Which project management software is best for a small remote team? Include practical examples, key risks, benefits, and a final takeaway.",ChatGPT,True
TECH_T01_V09,TECH_T01,9,Technology,Recommendation,Constraint-Based,"Answer in a table with columns for 'Main point', 'Why it matters', and 'Possible limitation': Which project management software is best for a small remote team?",ChatGPT,True
TECH_T15_V08,TECH_T15,8,Technology,Explanation,Comparative,"Compare the main options or perspectives related to blockchain, then explain which option is most suitable in different situations.",ChatGPT,True
TECH_T17_V02,TECH_T17,2,Technology,Recommendation,Conversational,I'm trying to understand this properly: what are useful browser extensions for productivity and research? Could you explain it clearly in a practical way?,ChatGPT,True
TECH_T17_V09,TECH_T17,9,Technology,Recommendation,Constraint-Based,"Answer in a table with columns for 'Main point', 'Why it matters', and 'Possible limitation': What are useful browser extensions for productivity and research?",ChatGPT,True
TECH_T19_V09,TECH_T19,9,Technology,Guidance,Constraint-Based,"Answer in a table with columns for 'Main point', 'Why it matters', and 'Possible limitation': What factors affect the speed and reliability of a home Wi-Fi network?",ChatGPT,True
